productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,hazardousproduct,avalarataxcode,createdutc,modifiedutc,unitofmeasure,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
"40350","","Minim Felts Cone 3/8","","","","9","5/14/2024 9:49:00 AM","","","","9","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","10.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","<div style=""margin-left: 20px;"">Minim Felts Cone 3/8 (24qty)</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 11:50:20 AM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40350","http://www.factor2.com/v/vspfiles/photos/40350-1.jpg","Lab Supplies / Tools","0",""
"40360","","Minim Felts Cone 1/2","","","","4","5/14/2024 9:49:00 AM","","","","9","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","12.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felts Cone 1/2 (24qty)","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 1:10:44 PM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40360","http://www.factor2.com/v/vspfiles/photos/40360-1.jpg","Lab Supplies / Tools","0",""
"40400","","Minim Felt Knife Edge 1/2","","","","5","5/14/2024 9:49:00 AM","","","","9","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","10.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felt Knife Edge 1/2 (24 qty)","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 11:25:08 AM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40400","http://www.factor2.com/v/vspfiles/photos/40400-1.jpg","Lab Supplies / Tools","0",""
"40502","","Minim Felts Hard 1/2 or  Soft 5/8 Qty: 100","","","","5","5/14/2024 9:49:00 AM","","","","9","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","12.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felts Buffs Hard 1/2 (qty 100)<br />Minim Felts Buffs Soft 5/8 (qty 100)","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 10:31:34 AM","","","","","","","73","1105,1106","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40502","http://www.factor2.com/v/vspfiles/photos/40502-1.jpg","Lab Supplies / Tools","0",""
"40512","","Minim Felts hard 5/8","","","","1","5/14/2024 9:49:00 AM","","","","9","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","12.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felts hard 5/8 (100qty)","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 11:33:12 AM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40512","http://www.factor2.com/v/vspfiles/photos/40512-1.jpg","Lab Supplies / Tools","0",""
"40521","","Minim Felts 3/4","","","","0","12/6/2022 10:49:00 AM","","","","13244","","","","","","","","N","N","","","","","","","","1","N","","","","","","","","N","7.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felts Hard 3/4 Buff Wheels (24 qty)","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 10:24:25 AM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40521","http://www.factor2.com/v/vspfiles/photos/40521-1.jpg","Lab Supplies / Tools","0",""
"40522","","Minim Felts 3/4","","","","2","5/14/2024 9:49:00 AM","","","","9","","","","","","","","N","N","","","","","","","","2","N","","","","","","","","N","19.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","","Minim Felts Buffs Hard 3/4 (100qty)","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/24/2021 10:37:27 AM","","","","","","","73","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40522","http://www.factor2.com/v/vspfiles/photos/40522-1.jpg","Lab Supplies / Tools","0",""
"40GC","","Convection Laboratory Oven","","","","","5/28/2019 3:41:00 PM","","","","9","","","","","","","4","N","N","","","","","","40GC","Convection Oven","195","N","","","","","","","","N","1195","","","","","","","","Laboratory Convection Oven","This gravity convection oven is designed to consistently and evenly distribute heat throughout the entire surface of the mold.","","","","","","","convection oven coloring silicone heat cure","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Gravity convection mold oven.","This gravity convection oven is designed to consistently and evenly distribute heat throughout the entire surface of the mold placed inside the oven.  Exteriors are painted light gray and have a hard, scratch-resistant hammered finish.  Doors open with high impact thermoplastic handle. Cabinets have heavy steel double wall construction.  Work space is insulated from the outer cabinet with one inch of high density mineral wool, and interiors are made of corrosive resistant aluminium steel. Temperature uniformity is greatly improved by a perforated heat shield which absorbs radiant heat and distributes it more evenly.","","<div><span style=""font-weight: bold; text-decoration: underline; background-color: initial;"">40GC Model*</span></div>
<div><span style=""TEXT-DECORATION: underline""></span>Inside Dimension: 18W x 21H x 14D inches</div>
<div>Outside Dimensions: 20W x 30H x 16D inches</div>
<div>Cubic Feet: 3.0</div>
<div>1600 Watts </div>
<div>13.91 Amps Heating Range </div>
<div>225 degrees Centigrade/ 437 degrees Farenheit</div>
<div>* Shipping by cargo truck only so shipping times and shipping rates vary.  You will be contacted with final shipping costs.</div>","","","convection, oven, coloring silicone, heat cure, Convection Laboratory Oven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114,8","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=40GC","http://www.factor2.com/v/vspfiles/photos/40GC-1.jpg","Equipment > Ovens","0",""
"501701","","Eyebrows","","","","","11/14/2024 12:40:00 PM","","","","13244","","","","","","","","N","N","","","","","","501710","Eyebrows","1","Y","","","","","","","","N","34.5","","","","","","","Usually Ships in 24 to 48 Hours","Eyebrows","These eyebrows can be trimmed to desired size for use on orbital prosthesis.","","","","","","","Eyebrows","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Human Hair assorted Colors.","100% human hair on French lace, Highest quality available.   These eyebrows can  be trimmed  to desired size, excellent for use on orbital prosthesis. Available in,Black, Brown, Light brown, Blonde, and Salt & Pepper. IF DOUBLE SIDED TAPE IS NEEDED PLEASE ORDER PRODUCT CODE B-205-SR SEPARATELY. (DISCONTINUED WHEN GONE)","","","","","Eyebrow, eyebrows, artificial eyebrow, prosthetic eyebrow,100% human hair on French lace, Highest quality available. These eyebrows can be trimmed to desired size, excellent for use on orbital prosthesis.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73,1987,80,1982","49,50","","","https://www.factor2.com/ProductDetails.asp?ProductCode=501701","http://www.factor2.com/v/vspfiles/photos/501701-1.jpg","Lab Supplies / Tools","0","1697442482"
"501710","","Eyelashes","","","","","11/14/2024 12:40:00 PM","","","","13244","","","","","","","","N","N","","","","","","501701","Eyelashes","1","N","","","","","","","","N","5","","","","","","","Usually Ships in 24 to 48 Hours","Eyelashes","Eyelashes can be used with orbital prosthesis or split for placement into a silicone appliance.","","","","","","","Eyelashes (Black)","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Experience the uniqueness","Available in both black (501710) and brown (501720), for use with orbital prosthesis.  These can be placed as one unit or split for placement into the silicone appliance.","","","","","eyelashes, eyelash, artificial eyelash,Avaiable in both black (501710) and brown (501720), for use with orbital prosthesis. These can be placed as one unit or split for placement into the silicone appliance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,73,7,1985,80","54","","","https://www.factor2.com/ProductDetails.asp?ProductCode=501710","http://www.factor2.com/v/vspfiles/photos/501710-1.jpg","Lab Supplies / Tools > Sculpting Medium","0",""
"5118","","Silicone Trimming Wheel Large 2S Fine","","","","","12/6/2018 2:51:00 PM","","","","9210","","","","","","","","N","N","","","","","","","","1","Y","","","","","","","","N","6.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Silicone Trimming Wheel Large 2S Fine","New Large Silicone UnitizedTrimming Wheel 2S Fine<br />2 inches by 1/4 inch by 3/8 inch<br />Max RPM 16100: great for trimming large Silicone devices.<br /><br />","","","","","","","","","","","","","","","","","","","","","","","","","","","","12/6/2018 1:19:09 PM","","","","","","","73,111,110,25,1987","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=5118","http://www.factor2.com/v/vspfiles/photos/5118-1.jpg","Lab Supplies / Tools","0","1544104204"
"5119","","Silicone Trimming Wheel 7/8 x 1/8","","","","","5/7/2024 2:31:00 PM","","","","13244","","","","","","","","N","N","","","","","","","","1","Y","","","","","","","","","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Silicone Trimming Wheel Large 2S Fine","Silicone trimming wheel<br />7/8 x 1/8<br /><br /><br />","","","","","","","","","","","","","","","","","","","","","","","","","","","","5/7/2024 2:31:05 PM","","","","2024-05-07 21:31:05.17 +00:00","2024-05-07 21:31:05.17 +00:00","","73,111,110,25,1987","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=5119","http://www.factor2.com/v/vspfiles/photos/5119-1.jpg","Lab Supplies / Tools","0",""
"5120","","Silicone Trimming Wheel 2 x 1/4 x 1/16","","","","","5/7/2024 2:37:00 PM","","","","13244","","","","","","","","N","N","","","","","","","","1","Y","","","","","","","","","8.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Silicone Trimming Wheel Large 2S Fine","Silicone trimming wheel<br />3A FN 2 x 1/4 x 1/16<br /><br />","","","","","","","","","","","","","","","","","","","","","","","","","","","","5/7/2024 2:37:12 PM","","","","2024-05-07 21:37:12.25 +00:00","2024-05-07 21:37:12.25 +00:00","","73,111,110,25,1987","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=5120","http://www.factor2.com/v/vspfiles/photos/5120-1.jpg","Lab Supplies / Tools","0",""
"5125","","Silicone Wheels - 3M Wheels","","","","","1/4/2024 12:42:00 PM","","","","13244","","","","","","","","N","N","","","","","","5125","silicone cutters trimmers","1","N","","","","","","","","N","35.95","","","","","","","Usually Ships in 24 to 48 Hours","Silicone Trimming Wheels,","Silicone wheels for trimming cutting and finishing.","","","","","","","silicone wheels, trimming, cutting, finishing,","","","","","","","","","","","","","","N","N","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","","","","","N","","N","","","","","","","","","","","","","N","","N","N","","Pack of 3 Wheels and a Mandrel.","<u><b>Pack of 4</b></u>

3M  trimming wheels includes: 1 each of 5112, 5113, 5114, and a AL-204 Mandrel.

Factor II offers this package so you can test the wheels for optimal performance. Based on feedback from clinicians choice of wheel is varied. Each wheel is more or less aggressive, and this will allow you to choose the wheel that will trim your silicone appliance to your expectations.

Each wheel is individually marked to keep track of your choice for replacement orders.  Wheel # 5112 is ideal for the final polish.","","","","","silicone wheels, trimming wheels, cutting wheels, finishing wheels,Silicone Wheels, 3M Wheels","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73,1987,111,3,25,65","","","","https://www.factor2.com/ProductDetails.asp?ProductCode=5125","http://www.factor2.com/v/vspfiles/photos/5125-1.jpg","Lab Supplies / Tools","0","1704368523"
